"method","nsnp","b","se","pval"
"MR Egger","91","0.1868209056631","0.0365868156220242","1.85279484081205e-06"
"Weighted median","91","0.156410171927477","0.0229532161844881","9.4721817205381e-12"
"Inverse variance weighted","91","0.173629705126772","0.0154481101140766","2.60727170222457e-29"
"Weighted mode","91","0.158964909731808","0.0275867520827868","1.14552685938958e-07"
"GSMR","91","0.169716989844245","0.0144479019447893","7.33214517857278e-32"
